Position,Year,Kernel,C,Epsilon,Gamma,Norm,Computed Error,ESPN Error
Quarterback,2014,rbf,0.1,0.0,7.0,l2,2022.70834832,1784.0
Quarterback,2014,rbf,1,0.0,7.0,l2,1906.59880133,1784.0
Quarterback,2014,rbf,5,0.0,7.0,l2,1879.70501377,1784.0
Quarterback,2014,rbf,10,0.0,7.0,l2,1867.32938133,1784.0
Quarterback,2014,rbf,12,0.0,7.0,l2,1866.31926136,1784.0
Quarterback,2014,rbf,13,0.0,7.0,l2,1866.24722141,1784.0
Quarterback,2014,rbf,14,0.0,7.0,l2,1867.06379416,1784.0
Quarterback,2014,rbf,15,0.0,7.0,l2,1866.95094992,1784.0
Quarterback,2014,rbf,20,0.0,7.0,l2,1867.46359918,1784.0
Quarterback,2014,rbf,25,0.0,7.0,l2,1870.30325719,1784.0
Quarterback,2014,rbf,50,0.0,7.0,l2,1881.42887702,1784.0
Quarterback,2014,rbf,75,0.0,7.0,l2,1889.16891855,1784.0
Quarterback,2014,rbf,100,0.0,7.0,l2,1895.54156955,1784.0
Runningback,2014,rbf,1,0.0,7.0,l2,2601.33541738,2968.0
Runningback,2014,rbf,10,0.0,7.0,l2,2604.96043227,2968.0
Runningback,2014,rbf,100,0.0,7.0,l2,2616.50710445,2968.0
Runningback,2014,rbf,1000,0.0,7.0,l2,2677.16442223,2968.0
Wide Receiver,2014,rbf,1,0.0,7.0,l2,3350.61022455,4157.0
Wide Receiver,2014,rbf,10,0.0,7.0,l2,3356.26952328,4157.0
Wide Receiver,2014,rbf,100,0.0,7.0,l2,3314.54883803,4157.0
Wide Receiver,2014,rbf,500,0.0,7.0,l2,3300.50717977,4157.0
Wide Receiver,2014,rbf,1000,0.0,7.0,l2,3294.86167325,4157.0
Tight End,2014,rbf,1,0.0,7.0,l2,1257.80486922,1661.0
Tight End,2014,rbf,10,0.0,7.0,l2,1249.3100884,1661.0
Tight End,2014,rbf,50,0.0,7.0,l2,1244.20096845,1661.0
Tight End,2014,rbf,100,0.0,7.0,l2,1237.81781309,1661.0
Kicker,2014,rbf,1,0.0,7,l2,734.4226565,1068.0
Kicker,2014,rbf,5,0.0,7,l2,735.46408464,1068.0
Kicker,2014,rbf,10,0.0,7,l2,733.9362704,1068.0
Kicker,2014,rbf,13,0.0,7,l2,734.04578023,1068.0
Kicker,2014,rbf,15,0.0,7,l2,734.02347935,1068.0
Kicker,2014,rbf,50,0.0,7,l2,749.23767312,1068.0
Kicker,2014,rbf,100,0.0,7,l2,766.04643746,1068.0
